"pais";"codigo";"cantHabitantes";"casos";"porMil"
"South Korea";410;51269183;105279;2,05345577673824
"Egypt";818;102334403;204256;1,99596610731193
"Guinea-Bissau";624;1967998;3661;1,86026611815662
"Ethiopia";231;114963583;213311;1,85546583042736
"Malawi";454;19129955;33647;1,75886456606929
"Congo (Brazzaville)";178;5518092;9681;1,7544107637205
"Rwanda";646;12952209;22243;1,71731323977246
"Costa de Marfil";384;26378275;44618;1,69146769453272
"Guinea";324;13132792;20319;1,54719575243406
"Afghanistan";4;38928341;56595;1,45382511933915
"Tajikistan";762;9537642;13308;1,39531343281704
"Grenada";308;112519;155;1,3775451257121
"Togo";768;8278737;11064;1,33643573892974
"Bhutan";64;771612;891;1,15472543195285
"Australia";36;25499881;29348;1,15090733168519
"Haiti";332;11402533;12788;1,12150519538071
"Syria";760;17500657;19284;1,10190148861268
"Central African Republic";140;4829764;5245;1,08597438715432
"Nicaragua";558;6624554;6677;1,00791691033087
"Eritrea";232;3546427;3334;0,940101121494958
"South Sudan";728;11193729;10255;0,916137955457024
"Madagascar";450;27691019;25262;0,912281342914827
"Uganda";800;45741000;40962;0,895520430248574
"Mauritius";480;1271767;1104;0,868083540459848
"Saint Kitts and Nevis";659;53192;44;0,827192058956234
"Nigeria";566;206139587;163113;0,791274506628365
"Papua New Guinea";598;8947027;6619;0,739798818087841
"Sudan";729;43849269;31833;0,72596421162688
"Somalia";706;15893219;11504;0,72383071044324
"Angola";24;32866268;22579;0,686996162752644
"Burkina Faso";854;20903278;12803;0,612487668202088
"Benin";204;12123198;7313;0,603223670849886
"East Timor";626;1318442;714;0,541548281987376
"New Zealand";554;4822233;2501;0,518639393824396
"Mali";466;20250834;10432;0,515139277720611
"Sierra Leone";694;7976985;3987;0,499812899234485
"Brunei Darussalam";96;437483;214;0,489161864575309
"Thailand";764;69799978;29031;0,415917036535456
"Liberia";430;5057677;2042;0,403742666840923
"Democratic Republic of the Congo";180;89561404;28292;0,315895003164533
"Chad";148;16425859;4589;0,279376561067522
"Burundi";108;11890781;2911;0,244811505652993
"Niger";562;24206636;5028;0,207711637420416
"Cambodia";116;16718971;2689;0,160835257145909
"Yemen";887;29825968;4697;0,15748021992111
"Fiji";242;896444;67;0,0747397494991321
"China";156;1439323774;101821;0,0707422484358964
"Marshall Islands";584;59194;4;0,067574416325979
"Taiwan";158;23816775;1045;0,0438766373700889
"Solomon Islands";90;686878;19;0,0276613896499815
"Vietnam";704;97338583;2626;0,0269779969983742
"Samoa";882;198410;3;0,0151202056347966
"Vanuatu";548;307150;3;0,00976721471593684
"Tanzania";834;59734213;509;0,00852107987092757
"Laos";418;7275556;49;0,00673488046824188
"Micronesia";954;548927;1;0,00182173585923083
